City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Ust-Kut,RU,56.79,105.77,59.61,87,100,1.19,overcast clouds
322,Hope,US,33.67,-93.59,93.0,65,76,1.99,broken clouds
323,Port Hedland,AU,-20.32,118.57,86.0,17,1,14.99,clear sky
324,Colares,PT,38.8,-9.45,66.0,80,0,24.83,clear sky
325,Santa Cruz,BO,-17.8,-63.17,77.0,65,0,8.05,clear sky
326,Ozinki,RU,51.18,49.68,67.3,68,100,8.03,overcast clouds
327,Hattiesburg,US,31.33,-89.29,77.0,88,20,4.7,few clouds
328,Chokurdakh,RU,70.63,147.92,41.11,80,99,8.72,overcast clouds
329,Ilulissat,GL,69.22,-51.1,46.4,45,100,8.05,overcast clouds
330,Cidreira,BR,-30.18,-50.21,64.62,79,100,9.73,moderate rain
331,Arlit,NE,18.74,7.39,79.12,65,100,10.96,moderate rain
332,Vikulovo,RU,56.82,70.61,58.1,94,0,5.64,clear sky
333,Tuburan,PH,6.64,122.27,82.4,83,75,4.7,broken clouds
334,Japura,ID,-0.32,102.35,79.97,74,72,3.33,broken clouds
335,Bulgan,MN,48.81,103.53,53.89,87,100,3.42,overcast clouds
336,Nikolskoye,RU,59.7,30.79,55.99,87,40,2.55,fog
337,Sao Joao Da Barra,BR,-21.64,-41.05,72.21,87,0,13.71,clear sky
338,Tilichiki,RU,60.47,166.1,50.16,71,100,12.93,overcast clouds
339,Kushiro,JP,42.98,144.37,80.6,78,75,8.05,broken clouds
340,Xuddur,SO,4.12,43.89,71.49,77,0,17.29,clear sky
341,Coquimbo,CL,-29.95,-71.34,51.8,81,0,4.7,clear sky
342,Ponta Delgada,PT,37.73,-25.67,73.4,94,20,9.17,few clouds
343,Severo-Yeniseyskiy,RU,60.37,93.04,51.66,90,10,3.89,clear sky
344,Waterfoot,GB,53.69,-2.25,50.0,89,87,6.29,overcast clouds
345,Hami,CN,42.8,93.45,68.52,37,0,17.72,clear sky
346,Isangel,VU,-19.55,169.27,82.4,69,75,6.93,broken clouds
347,Miquelon,PM,47.1,-56.38,59.56,74,1,24.32,clear sky
348,Fairbanks,US,64.84,-147.72,62.01,72,75,1.57,broken clouds
349,Bonfim,BR,3.08,-59.95,80.76,70,100,3.49,overcast clouds
350,Nador,MA,35.17,-2.93,82.4,51,0,11.41,clear sky
351,Waingapu,ID,-9.66,120.26,83.64,47,0,17.58,light rain
352,Paris,FR,48.85,2.35,57.99,87,0,5.82,clear sky
353,Santa Isabel,BR,-23.32,-46.22,68.0,72,0,1.41,clear sky
354,Bariadi,TZ,-2.8,33.98,67.32,55,1,2.95,clear sky
355,Meulaboh,ID,4.14,96.13,77.32,84,100,4.21,overcast clouds
356,Vavatenina,MG,-17.47,49.2,62.17,93,2,2.42,clear sky
357,Severo-Kurilsk,RU,50.68,156.12,52.52,83,85,10.96,light rain
358,Rovaniemi,FI,66.5,25.72,44.6,87,53,2.24,broken clouds
359,Broome,US,42.25,-75.83,70.0,82,90,3.36,overcast clouds
360,Den Helder,NL,52.96,4.76,57.2,87,75,10.29,drizzle
361,Ixtapa,MX,20.7,-105.2,84.2,70,75,4.7,broken clouds
362,Pedernales,DO,18.04,-71.74,82.8,77,0,3.8,clear sky
363,Port Moresby,PG,-9.44,147.18,84.2,74,40,5.82,scattered clouds
